15,त्रि (पुं),तीन,पुंलिंग,संख्या,केवल बहुवचन में रूप चलते हैं,-,-,त्रयः,-,-,त्रीन्,-,-,त्रिभिः,-,-,त्रिभ्यः,-,-,त्रिभ्यः,-,-,त्रयाणाम्,-,-,त्रिषु
15,त्रि (नपुं),तीन,नपुंसकलिंग,संख्या,केवल बहुवचन में रूप चलते हैं,-,-,त्रीणि,-,-,त्रीणि,-,-,त्रिभिः,-,-,त्रिभ्यः,-,-,त्रिभ्यः,-,-,त्रयाणाम्,-,-,त्रिषु
15,त्रि (स्त्री),तीन,स्त्रीलिंग,संख्या,केवल बहुवचन में रूप चलते हैं,-,-,तिस्रः,-,-,तिस्रः,-,-,तिसृभिः,-,-,तिसृभ्यः,-,-,तिसृभ्यः,-,-,तिसृणाम्,-,-,तिसृषु
16,चतुर् (पुं),चार,पुंलिंग,संख्या,केवल बहुवचन में रूप चलते हैं,-,-,चत्वारः,-,-,चतुरः,-,-,चतुर्भिः,-,-,चतुर्भ्यः,-,-,चतुर्भ्यः,-,-,चतुर्णाम्,-,-,चतुर्षु
16,चतुर् (नपुं),चार,नपुंसकलिंग,संख्या,केवल बहुवचन में रूप चलते हैं,-,-,चत्वारि,-,-,चत्वारि,-,-,चतुर्भिः,-,-,चतुर्भ्यः,-,-,चतुर्भ्यः,-,-,चतुर्णाम्,-,-,चतुर्षु
16,चतुर् (स्त्री),चार,स्त्रीलिंग,संख्या,केवल बहुवचन में रूप चलते हैं,-,-,चतस्रः,-,-,चतस्रः,-,-,चतसृभिः,-,-,चतसृभ्यः,-,-,चतसृभ्यः,-,-,चतसृणाम्,-,-,चतसृषु
6,सर्व (पुं),सब,पुंलिंग,सर्वनाम,-,सर्वः,सर्वौ,सर्वे,सर्वम्,सर्वौ,सर्वान्,सर्वेण,सर्वाभ्याम्,सर्वैः,सर्वस्मै,सर्वाभ्याम्,सर्वेभ्यः,सर्वस्मात्,सर्वाभ्याम्,सर्वेभ्यः,सर्वस्य,सर्वयोः,सर्वेषाम्,सर्वस्मिन्,सर्वयोः,सर्वेषु
6,सर्व (नपुं),सब,नपुंसकलिंग,सर्वनाम,-,सर्वम्,सर्वे,सर्वाणि,सर्वम्,सर्वे,सर्वाणि,सर्वेण,सर्वाभ्याम्,सर्वैः,सर्वस्मै,सर्वाभ्याम्,सर्वेभ्यः,सर्वस्मात्,सर्वाभ्याम्,सर्वेभ्यः,सर्वस्य,सर्वयोः,सर्वेषाम्,सर्वस्मिन्,सर्वयोः,सर्वेषु
6,सर्व (स्त्री),सब,स्त्रीलिंग,सर्वनाम,-,सर्वा,सर्वे,सर्वाः,सर्वाम्,सर्वे,सर्वाः,सर्वया,सर्वाभ्याम्,सर्वाभिः,सर्वस्यै,सर्वाभ्याम्,सर्वाभ्यः,सर्वस्याः,सर्वाभ्याम्,सर्वाभ्यः,सर्वस्याः,सर्वयोः,सर्वासाम्,सर्वस्याम्,सर्वयोः,सर्वासु
7,एतत् (पुं),यह,पुंलिंग,सर्वनाम,-,एषः,एतौ,एते,एतम्,एतौ,एतान्,तेन,ताभ्याम्,तैः,तस्मै,ताभ्याम्,तेभ्यः,तस्मात्,ताभ्याम्,तेभ्यः,तस्य,तयोः,तेषाम्,तस्मिन्,तयोः,तेषु
7,एतत् (स्त्री),यह,स्त्रीलिंग,सर्वनाम,-,एषा,एते,एताः,एताम्,एते,एताः,तया,ताभ्याम्,ताभिः,तस्यै,ताभ्याम्,ताभ्यः,तस्याः,ताभ्याम्,ताभ्यः,तस्याः,तयोः,तासाम्,तस्याम्,तयोः,तासु
7,एतत् (नपुं),यह,नपुंसकलिंग,सर्वनाम,-,एतत्,एते,एतानि,एतत्,एते,एतानि,एतेन,एताभ्याम्,एतैः,एतस्मै,एताभ्याम्,एतेभ्यः,एतस्मात्,एताभ्याम्,एतेभ्यः,एतस्य,एतयोः,एतेषाम्,एतस्मिन्,एतयोः,एतेषु
8,तत् (पुं),वह,पुंलिंग,सर्वनाम,-,सः,तौ,ते,तम्,तौ,तान्,तेन,ताभ्याम्,तैः,तस्मै,ताभ्याम्,तेभ्यः,तस्मात्,ताभ्याम्,तेभ्यः,तस्य,तयोः,तेषाम्,तस्मिन्,तयोः,तेषु
8,तत् (नपुं),वह,नपुंसकलिंग,सर्वनाम,-,तत्,ते,तानि,तत्,ते,तानि,तेन,ताभ्याम्,तैः,तस्मै,ताभ्याम्,तेभ्यः,तस्मात्,ताभ्याम्,तेभ्यः,तस्य,तयोः,तेषाम्,तस्मिन्,तयोः,तेषु
8,तत् (स्त्री),वह,स्त्रीलिंग,सर्वनाम,-,सा,ते,ताः,ताम्,ते,ताः,तया,ताभ्याम्,ताभिः,तस्यै,ताभ्याम्,ताभ्यः,तस्याः,ताभ्याम्,ताभ्यः,तस्याः,तयोः,तासाम्,तस्याम्,तयोः,तासु
1,गृह,घर,नपुंसकलिंग,अजन्त,-,गृहम्,गृहे,गृहाणि,गृहम्,गृहे,गृहाणि,गृहेण,गृहाभ्याम्,गृहैः,गृहाय,गृहाभ्याम्,गृहेभ्यः,गृहात्,गृहाभ्याम्,गृहेभ्यः,गृहस्य,गृहयोः,गृहाणाम्,गृहे,गृहयोः,गृहेषु
2,किम् (पुं),क्या,पुंलिंग,सर्वनाम,-,कः,कौ,के,कम्,कौ,कान्,केन,काभ्याम्,कैः,कस्मै,काभ्याम्,केभ्यः,कस्मात्,काभ्याम्,केभ्यः,कस्य,कयोः,केषाम्,कस्मिन्,कयोः,केषु
2,किम् (नपुं),क्या,नपुंसकलिंग,सर्वनाम,-,किम्,के,कानि,किम्,के,कानि,केन,काभ्याम्,कैः,कस्मै,काभ्याम्,केभ्यः,कस्मात्,काभ्याम्,केभ्यः,कस्य,कयोः,केषाम्,कस्मिन्,कयोः,केषु
2,किम् (स्त्री),क्या,स्त्रीलिंग,सर्वनाम,-,का,के,काः,काम्,के,काः,कया,काभ्याम्,काभिः,कस्यै,काभ्याम्,काभ्यः,कस्याः,काभ्याम्,काभ्यः,कस्याः,कयोः,कासाम्,कस्याम्,कयोः,कासु
